mass,wheel_mass,wheel_radius,MaxRPM,MinRPM,MaxBrakeTorque,MaxMotorTorque,MaxSteeringAngle,TireDragCoeff,WheelDamping,ShiftTime,TractionControlSlipLimit,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
2379.265,24.288,0.381,10136.291,611.351,2519.845,442.017,36.169,4.583,1.208,0.487,0.938,0.236,7.748,12,1.852,3,-1.593
2459.978,55.861,0.388,11658.157,1057.719,2503.012,500.204,39.772,3.515,1.085,0.272,0.732,0.862,6.612,11,2.013,3.4,-1.297
2379.257,29.539,0.377,10538.807,793.065,2554.377,513.655,32.39,4.616,1.465,0.411,0.86,0.465,7.771,9,1.846,3,-1.631
2164.977,29.462,0.313,7810.886,915.898,2988.009,450.072,37.487,3.442,1.122,0.404,0.756,0.145,10.44,8,0.705,2,-2.009
2489.845,33.477,0.383,10637.085,783.85,2571.589,424.741,34.697,4.341,0.724,0.269,0.818,0.328,7.37,11,2.041,3.2,-1.689
2099.544,28.509,0.346,8612.785,850.146,2619.978,544.23,38.179,4.529,1.162,0.396,0.789,0.209,10.093,8,0.554,2,-1.625
2485.979,50.814,0.389,6549.362,696.257,2578.584,422.222,37.361,3.835,1.308,0.419,0.747,0.694,7.088,11,1.95,3.4,-1.429
2107.45,35.518,0.368,9190.642,936.701,2770.208,462.2,44.072,4.582,1.046,0.467,0.82,0.184,10.103,10,0.782,2.4,-1.837
2378.979,38.96,0.388,10227.099,934.292,2521.199,422.308,49.2,4.517,1.006,0.451,0.73,0.299,7.611,11,1.658,3,-1.504
2401.622,48.415,0.378,7701.948,786.729,2576.693,525.198,33.08,3.681,0.779,0.402,0.802,0.614,7.544,10,1.783,3,-1.707
2374.643,45.375,0.389,10658.474,1014.598,2655.223,467.247,41.255,3.893,0.84,0.387,0.948,0.512,7.585,10,1.841,3,-1.74
2371.513,47.937,0.389,10146.135,647.991,2533.274,539.371,34.237,2.169,0.525,0.269,0.837,0.598,7.106,12,2.14,3.2,-1.709
2308.917,26.882,0.39,7469.33,638.549,2562.988,543.188,30.759,3.1,0.993,0.42,0.943,0.225,8.012,10,1.662,3,-1.578
2420.282,43.801,0.384,11862.784,1052.191,2550.843,525.853,49.589,3.811,0.504,0.507,0.898,0.496,7.302,12,2.002,3.2,-1.649
2364.387,50.524,0.358,10792.827,1002.99,2988.22,452.764,30.957,2.718,1.014,0.371,0.787,0.684,9.664,7,0.884,2.2,-1.762
2327.715,30.766,0.381,7988.746,959.315,2682.289,429.762,37.145,3.593,0.923,0.407,0.809,0.199,8.284,9,1.647,2.8,-1.78
2140.739,33.061,0.363,8020.331,923.907,2937.838,531.358,34.347,3.951,0.918,0.412,0.802,0.181,10.144,9,0.91,2.2,-1.84
2133.786,35.086,0.336,7958.546,750.529,2526.138,457.205,37.145,3.313,0.948,0.385,0.879,0.172,9.959,10,0.906,2.4,-1.9
2495.486,28.748,0.379,10544.963,884.551,2554.935,548.423,41.168,4.673,0.833,0.407,0.702,0.271,7.357,10,2.107,3.4,-1.662
2440.896,31.147,0.38,10479.124,986.676,2792.591,452.663,32.595,2.602,0.673,0.375,0.809,0.35,8.602,8,1.329,2.8,-1.631
2241.804,30.974,0.349,12564.738,793.975,2930.91,451.726,46.727,2.975,0.838,0.409,0.88,0.514,10.075,7,0.799,2.4,-2.04
2456.298,48.971,0.338,8307.189,744.754,2549.904,431.234,40.01,2.127,1.341,0.51,0.805,0.632,8.168,9,1.579,2.8,-1.724
2451.683,58.088,0.377,11991.8,1045.305,2500.147,454.219,46.265,3.06,1.299,0.25,0.907,0.936,6.762,12,2.058,3.4,-1.425
2405.84,30.538,0.374,9568.421,682.162,2636.175,431.41,35.463,3.908,1.041,0.245,0.736,0.388,8.204,9,1.448,2.8,-1.682
2361.938,57.353,0.377,8352.418,1032.499,2625.526,532.279,38.988,2.48,0.616,0.414,0.928,0.912,7.812,9,1.587,2.8,-1.55
2240.738,29.609,0.333,7612.945,919.61,2804.981,512.551,39.911,4.612,1.075,0.451,0.682,0.153,10.164,10,0.904,2.4,-1.915
2456.669,29.311,0.373,8709.335,840.089,2814.915,489.753,32.922,2.936,1.009,0.4,0.78,0.266,8.664,8,1.334,2.6,-1.62
2366.001,24.182,0.382,7658.587,728.226,2570.29,488.068,42.203,3.953,0.791,0.417,0.685,0.209,8.029,10,1.699,3.2,-1.609
2019.781,29.98,0.311,8979.139,712.415,2765.1,501.977,46.501,3.919,1.027,0.366,0.766,0.18,10.492,9,0.466,1.8,-1.77
2390.624,56.443,0.353,11184.867,679.19,2527.517,461.119,39.348,2.325,0.953,0.383,0.878,0.881,8.176,8,1.388,2.8,-1.582
2373.323,30.036,0.384,9934.044,806.811,2554.584,482.972,40.567,2.476,0.343,0.216,0.796,0.657,7.967,9,1.446,3,-1.512
2425.171,36.462,0.359,8305.628,799.327,3075.774,526.595,33.928,4.052,0.973,0.49,0.866,0.225,9.479,8,1.27,2.6,-2.025
2457.573,58.321,0.382,9725.44,854.389,2531.385,415.964,34.183,2.05,0.643,0.314,0.8,0.944,6.794,11,1.95,3.4,-1.31
2477.049,34.758,0.387,7681.05,940.68,2757.09,530.345,37.628,3.701,0.804,0.416,0.855,0.196,7.974,11,1.519,3,-1.632
2431.342,56.044,0.389,7037.82,898.784,2553.593,466.131,42.936,2.679,0.802,0.59,0.902,0.868,6.781,12,1.994,3.4,-1.429
2421.111,34.486,0.37,7969.503,1011.983,2593.766,480.014,38.536,3.962,1.021,0.468,0.783,0.265,8.045,9,1.626,3,-1.64
2465.661,33.078,0.338,8322.914,901.074,3018.37,469.443,33.08,4.479,1.039,0.486,0.777,0.215,9.999,9,0.843,2.4,-1.883
2381.125,58.536,0.386,6177.006,809.236,2728.399,448.888,38.858,2.447,1.456,0.521,0.695,0.951,7.73,9,1.608,3,-1.592
2383.102,32.668,0.372,8964.345,692.641,2803.448,538.897,32.07,4.543,0.972,0.349,0.902,0.198,8.862,11,1.358,2.6,-1.84
2122.907,33.177,0.332,10497.097,792.746,2738.976,498.756,41.58,4.074,0.99,0.462,0.825,0.265,10.119,8,0.873,2.2,-1.92
2047.706,28.132,0.33,9154.483,877.245,3099.309,471.449,35.047,3.558,1.022,0.354,0.83,0.115,10.167,11,0.561,2,-1.86
2328.404,32.104,0.376,10300.725,929.782,2557.839,451.171,47.1,4.761,1.154,0.434,0.779,0.241,8.082,10,1.555,2.8,-1.762
2439.363,31.429,0.37,10839.185,724.697,2530.586,466.544,46.2,4.64,0.681,0.38,0.932,0.319,7.674,10,1.911,3,-1.778
2126.49,29.203,0.351,11258.687,965.233,2993.579,501.125,40.231,4.89,1.434,0.284,0.823,0.434,10.378,7,0.645,2.2,-1.78
2394.841,35.105,0.372,8476.081,660.959,2699.313,529.725,32.461,4.778,1.039,0.484,0.838,0.21,7.968,11,1.742,2.8,-1.847
2390.778,28.443,0.38,9173.082,667.443,2593.411,472.109,36.488,3.761,0.937,0.497,0.798,0.242,7.95,10,1.528,3,-1.49
2493.035,27.541,0.329,9710.521,946.759,2567.953,448.182,45.042,3.831,0.769,0.378,0.909,0.231,9.257,10,1.227,2.6,-1.958
2498.537,44.3,0.388,6189.409,865.923,2728.388,452.685,41.372,3.956,0.949,0.441,0.825,0.477,7.743,9,1.49,3,-1.62
2487.801,31.006,0.309,9603.548,867.207,2677.644,479.433,36.458,3.425,1.045,0.349,0.73,0.173,9.6,10,1.396,2.6,-2.171
2366.843,55.483,0.387,8337.012,1044.11,2510.632,544.67,34.334,4.812,0.633,0.572,0.795,0.849,7.114,10,1.847,3.4,-1.418
2448.71,49.538,0.389,10422.272,950.366,2564.619,525.727,46.333,4.618,1.459,0.52,0.702,0.651,7.097,12,1.94,3.4,-1.416
2339.341,40.697,0.384,7842.951,824.65,2522.139,446.195,48.557,3.008,0.956,0.485,0.652,0.357,7.604,11,1.619,3,-1.454
2477.011,44.19,0.389,8545.261,1035.281,2615.531,410.677,34.902,3.806,0.79,0.595,0.828,0.487,7.38,12,1.748,3.2,-1.504
2295.751,56.653,0.356,10237.732,856.748,2871.529,524.338,38.638,4.086,0.291,0.377,0.781,0.888,9.733,7,0.769,2.4,-1.771
2368.933,29.511,0.349,8189.862,804.134,2636.668,519.333,48.739,3.966,1.355,0.283,0.68,0.355,9.288,8,1.075,2.4,-1.848
2441.795,33.547,0.361,7190.863,780.68,3009.323,469.621,34.382,4.842,0.908,0.318,0.792,0.21,9.598,10,1.109,2.4,-1.878
2437.148,35.498,0.37,12020.891,649.733,2525.956,460.454,45.356,3.028,1.168,0.35,0.869,0.448,7.579,12,1.853,3,-1.753
2435.376,39.92,0.382,11486.861,676.332,2599.588,538.905,46.008,3.367,0.849,0.332,0.747,0.384,7.586,12,1.682,3,-1.534
2471.048,47.395,0.369,8869.529,624.031,2507.425,430.273,34.221,2.846,1.314,0.421,0.666,0.58,7.211,11,2.066,3.2,-1.518
2381.341,48.133,0.389,6519.236,718.498,2547.128,475.793,46.189,3.927,0.72,0.256,0.802,0.604,7.201,10,1.963,3.2,-1.507
