mass,wheel_mass,wheel_radius,MaxRPM,MinRPM,MaxBrakeTorque,MaxMotorTorque,MaxSteeringAngle,TireDragCoeff,WheelDamping,ShiftTime,TractionControlSlipLimit,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
2446.894,29.79,0.39,7616.558,787.688,2558.635,452.72,44.044,3.891,1.032,0.429,0.793,0.154,7.211,6,2.262,3.4,-1.768
2477.299,43.176,0.39,8251.379,800.844,2502.544,500.821,47.855,3.938,1.024,0.423,0.821,0.439,6.226,6,2.579,3.6,-1.52
2399.383,29.354,0.39,8539.4,799.768,2614.828,447.342,39.629,3.915,1.021,0.37,0.784,0.132,7.62,4,1.867,3,-1.744
2484.751,46.367,0.39,7502.126,796.094,2507.365,509.313,46.238,4.079,1.033,0.42,0.795,0.546,5.939,7,2.599,3.8,-1.285
2471.126,45.968,0.39,8239.373,800.954,2506.578,451.461,44.931,4.031,0.979,0.407,0.799,0.532,6.503,5,2.239,3.6,-1.395
2399.383,29.354,0.39,8539.4,799.768,2614.828,447.342,40.462,3.915,1.021,0.37,0.784,0.132,7.612,5,1.903,3.2,-1.611
2477.297,39.936,0.39,8300.382,807.345,2502.432,508.618,47.907,3.913,1.033,0.425,0.798,0.331,6.559,6,2.231,3.6,-1.373
2446.894,29.79,0.39,7616.558,789.768,2520.617,452.72,44.044,3.866,1.024,0.429,0.819,0.16,7.07,7,2.245,3.6,-1.526
2476.872,47.936,0.39,8239.398,802.431,2507.374,452.795,42.237,4.075,1.033,0.425,0.794,0.598,6.114,5,2.444,3.8,-1.404
2477.297,46.506,0.39,8253.193,806.58,2502.432,490.58,47.907,3.913,1.033,0.425,0.798,0.55,5.995,6,2.73,3.8,-1.407
2477.669,37.878,0.39,8245.404,806.574,2502.234,452.82,45.04,3.691,1.025,0.404,0.794,0.263,6.596,6,2.552,3.6,-1.622
2477.368,28.529,0.389,6442.773,808.133,2509.788,509.292,44.468,3.909,1.084,0.383,0.795,0.224,6.709,7,2.588,3.8,-1.684
2400.101,28.979,0.39,8240.923,802.431,2591.649,449.692,40.066,4.008,1.021,0.37,0.784,0.136,7.574,3,1.804,3.2,-1.602
2476.982,37.443,0.39,8241.01,806.224,2500.97,508.839,45.073,3.91,0.995,0.381,0.799,0.248,6.635,6,2.206,3.6,-1.373
2407.114,28.85,0.39,8240.923,802.43,2591.649,442.781,39.528,4.022,1.021,0.37,0.784,0.136,7.4,4,2.153,3.4,-1.84
2477.299,47.697,0.39,8236.878,800.751,2502.673,452.795,39.702,4.065,0.979,0.407,0.799,0.59,6.528,4,1.999,3.6,-1.391
2476.866,37.786,0.39,8241.336,802.414,2507.344,452.82,45.04,3.999,1.03,0.425,0.794,0.26,6.738,5,2.191,3.6,-1.507
2444.15,29.983,0.39,7477.375,761.16,2560.793,458.176,44.205,3.891,0.953,0.429,0.794,0.153,7.296,7,2.162,3.4,-1.569
2407.114,28.425,0.39,8239.398,802.43,2507.535,451.454,39.528,4.063,1.033,0.37,0.794,0.164,7.172,3,2.382,3.4,-1.86
2498.556,51.424,0.39,7403.448,914.817,2504.498,516.774,39.455,3.345,0.993,0.406,0.791,0.714,5.416,8,2.912,4,-1.302
2498.57,59.051,0.39,7272.412,796.333,2504.523,481.585,39.447,3.907,0.993,0.395,0.791,0.968,5.271,6,2.887,4,-1.212
2483.142,29.875,0.353,8343.935,797.68,2500.107,493.967,39.692,3.894,1.001,0.399,0.798,0.171,7.744,3,1.8,3,-1.768
2217.322,29.424,0.354,8344.379,798.077,2782.809,481.548,40.064,3.895,0.998,0.409,0.816,0.072,9.802,3,1.275,2.4,-2.065
2498.62,59.049,0.39,8338.562,796.443,2503.312,481.585,39.447,3.907,0.993,0.429,0.791,0.968,5.403,5,3.042,3.8,-1.337
2498.555,51.424,0.39,8343.926,914.817,2504.498,516.774,39.455,3.248,0.993,0.401,0.791,0.714,5.525,7,2.794,4,-1.303
2231.048,30.018,0.382,8338.645,796.385,2722.697,479.8,39.445,3.907,0.993,0.41,0.808,0.092,8.939,4,1.28,2.6,-1.667
2499.963,29.65,0.39,8343.926,954.972,2503.344,517.547,39.586,3.908,1.026,0.401,0.794,0.194,6.641,5,2.659,3.8,-1.602
2230.496,29.854,0.384,8338.381,830.808,2722.697,479.792,39.573,3.908,1.001,0.423,0.752,0.097,8.486,6,1.59,2.6,-1.868
2492.128,29.857,0.389,8339.7,802.776,2500.403,494.115,39.563,3.893,1.016,0.413,0.788,0.176,6.773,4,2.451,3.6,-1.58
2498.397,56.615,0.39,8307.653,797.349,2504.543,474.323,39.555,3.907,0.993,0.395,0.791,0.887,5.679,5,2.655,3.8,-1.217
2498.223,51.478,0.389,8339.623,804.261,2504.496,481.617,39.58,3.896,1.028,0.383,0.81,0.716,5.893,5,2.337,3.6,-1.195
2498.223,46.765,0.39,8308.198,795.31,2504.539,486.642,40.094,3.896,0.993,0.396,0.791,0.559,6.088,5,2.282,3.8,-1.285
2435.325,29.656,0.384,8343.992,794.203,2737.921,484.396,39.501,3.896,0.998,0.417,0.791,0.149,8.143,4,1.542,3,-1.796
2216.769,29.424,0.354,8344.114,798.077,2688.437,494.402,40.119,3.909,1.001,0.424,0.816,0.104,9.762,3,0.924,2.4,-1.943
2444.039,28.436,0.389,8339.658,805.381,2512.733,494.389,39.45,3.908,1.001,0.424,0.791,0.162,7.256,4,2.006,3.4,-1.532
2499.912,58.869,0.388,8343.936,796.443,2503.314,481.585,39.582,3.907,1.016,0.415,0.794,0.962,5.618,5,2.613,3.8,-1.208
2462.207,29.857,0.389,8270.107,802.494,2655.514,481.575,40.102,3.505,1.001,0.43,0.788,0.161,7.638,5,1.735,3.2,-1.58
2483.142,29.875,0.39,8339.563,797.417,2500.483,493.967,39.692,3.885,1,0.399,0.813,0.171,7.039,4,2.142,3.8,-1.512
2444.056,29.857,0.353,8339.7,802.774,2502.608,510.473,40.075,3.896,1.001,0.413,0.798,0.166,7.955,3,1.704,3,-1.671
2231.048,29.854,0.384,8338.645,830.808,2637.987,494.107,39.564,3.894,0.998,0.409,0.752,0.121,5.683,6,3.843,3.8,-1.782
2216.769,29.848,0.352,8339.741,798.077,2506.8,481.548,39.59,3.908,1.001,0.424,0.79,0.164,8.665,3,1.576,2.8,-1.947
2231.048,30.018,0.384,8338.645,790.727,2722.697,493.973,39.445,3.722,0.998,0.41,0.808,0.098,8.66,5,1.525,2.8,-1.867
2393.829,30.077,0.354,8258.189,797.642,2725.54,494.096,39.454,3.908,1.001,0.419,0.791,0.129,9.047,3,1.398,2.6,-1.898
2498.438,40.916,0.39,8307.507,804.392,2500.264,481.615,39.58,3.908,1.016,0.421,0.793,0.364,6.264,5,2.568,3.8,-1.376
2498.221,50.198,0.389,8339.88,797.75,2504.921,480.96,39.587,3.894,1.028,0.383,0.808,0.673,5.939,5,2.526,3.8,-1.308
2231.048,30.018,0.382,8338.645,796.385,2520.218,479.8,39.445,3.907,1.015,0.41,0.808,0.16,8.138,4,1.553,2.8,-1.807
2256.152,28.372,0.357,8352.656,826.345,2761.923,482.957,39.608,3.907,1,0.4,0.811,0.079,9.757,5,0.994,2.4,-1.938
2499.598,56.808,0.389,8402.077,767.897,2505.615,540.752,39.464,3.997,0.94,0.399,0.825,0.894,5.143,9,3.121,4,-1.308
2494.178,29.12,0.389,8356.855,804.29,2505.751,449.021,40.15,4.004,0.997,0.397,0.818,0.176,7.009,3,2.195,3.6,-1.628
2265.11,28.636,0.378,8687.8,807.287,2771.54,450.056,39.627,4.079,0.998,0.425,0.818,0.08,8.734,4,1.461,2.8,-1.808
2498.83,58.218,0.389,8735.675,807.189,2504.874,543.147,39.67,4.001,0.996,0.376,0.818,0.941,5.467,6,2.632,4,-1.22
2267.972,28.624,0.378,8294.781,795.222,2771.54,450.146,39.645,4.006,0.998,0.425,0.818,0.08,9.189,3,1.181,2.6,-1.887
2497.725,48.501,0.389,8253.154,804.283,2514.961,449.995,41.887,4.004,0.999,0.397,0.817,0.617,6.286,5,2.338,3.6,-1.404
2494.178,33.213,0.389,8356.855,806.569,2505.751,449.021,40.15,4.004,0.99,0.397,0.818,0.176,6.809,4,2.639,3.4,-1.68
2499.598,55.425,0.389,8402.077,826.228,2504.871,542.921,39.618,4.001,0.954,0.397,0.824,0.847,5.324,8,2.928,4,-1.307
2499.598,55.425,0.389,8402.077,807.314,2504.871,540.752,39.618,4.001,0.954,0.397,0.824,0.847,5.365,7,2.746,4,-1.202
2265.11,28.636,0.378,8687.8,813.48,2771.54,450.056,39.627,4.079,0.998,0.425,0.818,0.08,8.637,5,1.659,2.8,-1.952
2264.191,27.338,0.38,8755.563,826.187,2716.333,450.821,38.746,4.08,1.003,0.38,0.822,0.095,8.419,6,1.74,2.8,-1.837
2499.098,56.448,0.389,8298.473,807.75,2502.665,447.668,39.654,4.004,0.954,0.395,0.818,0.882,5.768,4,2.957,3.6,-1.332
