max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
4601.983,0.13,2.138,0.32,0.595,8.182,2665.66,0.206,1.299,0.207,32.264,1320.814,0.629,0.732,12.0,1.21,1.75,4.521
4854.577,0.198,1.473,0.278,0.349,8.354,2651.634,0.226,2.888,0.251,32.579,1271.835,0.32,1.646,11.0,0.764,1.6,4.485
5140.753,0.129,1.46,0.27,0.355,9.875,2605.37,0.226,2.48,0.204,32.985,1209.229,0.291,1.783,11.0,0.725,1.6,4.51
6773.941,0.155,1.26,0.214,0.496,11.917,2129.21,0.286,3.455,0.247,32.566,1302.518,0.389,2.353,7.0,0.542,1.4,5.206
5849.972,0.187,1.467,0.315,0.425,9.545,2443.638,0.371,3.06,0.288,34.633,1214.312,0.266,1.959,12.0,0.671,1.5,4.672
6744.659,0.184,1.461,0.249,0.393,8.44,2677.164,0.25,3.61,0.229,32.884,1358.9,0.289,1.956,11.0,0.653,1.45,4.78
4442.79,0.194,2.326,0.355,0.593,11.68,2516.971,0.387,1.263,0.244,32.833,1347.781,0.639,0.869,10.0,1.145,1.75,4.424
5090.896,0.149,1.934,0.29,0.549,9.889,2322.508,0.308,3.306,0.253,33.503,1593.568,0.171,3.4,7.0,0.277,0.95,6.23
5666.714,0.148,1.611,0.332,0.506,9.85,2052.843,0.356,2.993,0.243,36.609,1502.317,0.195,2.982,7.0,0.382,1.15,5.804
5400.7,0.146,2.859,0.327,0.557,10.116,2587.412,0.479,1.086,0.266,32.386,1381.915,0.69,0.645,10.0,1.274,1.85,4.13
4703.977,0.118,1.201,0.33,0.484,9.989,2481.123,0.322,1.084,0.279,32.177,1315.959,0.69,1.605,9.0,0.8,1.55,4.738
5440.837,0.136,1.556,0.266,0.464,8.163,2398.3,0.277,2.907,0.219,34.525,1203.959,0.24,2.171,10.0,0.589,1.45,4.96
5792.165,0.171,2.07,0.335,0.488,10.011,2626.32,0.323,1.165,0.229,33.523,1534.581,0.667,2.213,6.0,0.553,1.3,4.922
6309.361,0.16,2.249,0.373,0.558,9.539,2345.104,0.298,3.134,0.275,36.862,1533.524,0.125,3.215,11.0,0.294,1.05,5.666
4753.911,0.189,1.465,0.283,0.452,9.7,2416.674,0.294,2.593,0.27,34.776,1240.408,0.267,2.161,10.0,0.566,1.5,4.638
5173.66,0.13,1.175,0.38,0.386,9.099,2613.176,0.498,1.157,0.208,33.751,1219.294,0.669,1.06,12.0,1.086,1.8,4.235
6279.601,0.144,1.239,0.305,0.406,9.916,2510.772,0.283,1.083,0.286,32.845,1417.066,0.691,1.52,9.0,0.847,1.55,4.867
4791.576,0.121,1.373,0.215,0.596,9.762,2580.679,0.356,2.288,0.26,31.795,1271.064,0.386,1.503,12.0,0.842,1.65,4.329
5619.308,0.13,2.075,0.345,0.52,10.506,2566.693,0.285,2.231,0.203,31.784,1206.136,0.363,1.685,8.0,0.731,1.6,4.418
5326.849,0.165,2.147,0.382,0.451,9.097,2665.231,0.339,3.137,0.253,34.211,1317.857,0.13,3.825,11.0,0.241,0.8,6.993
5366.66,0.161,2.393,0.396,0.573,11.251,2623.366,0.306,1.153,0.27,33.036,1283.765,0.671,0.637,11.0,1.303,1.85,3.584
6158.914,0.146,2.464,0.341,0.391,8.797,2560.441,0.311,3.637,0.246,33.252,1551.119,0.232,2.634,8.0,0.438,1.2,5.677
5350.446,0.187,1.925,0.351,0.568,11.681,2440.772,0.309,3.746,0.273,35.392,1309.832,0.247,2.519,8.0,0.449,1.35,5.004
5370.352,0.156,1.163,0.373,0.324,11.194,2458.767,0.282,2.194,0.294,32.583,1210.672,0.418,1.402,10.0,0.913,1.7,4.343
5702.247,0.124,1.332,0.385,0.584,9.362,2673.468,0.272,1.534,0.266,31.77,1259.436,0.562,1.399,12.0,0.899,1.7,4.237
5627.498,0.151,1.932,0.312,0.403,9.516,2597.31,0.316,3.806,0.204,34.62,1276.994,0.194,2.417,9.0,0.488,1.3,4.973
5042.419,0.195,2.497,0.356,0.487,8.904,2392.306,0.308,2.337,0.255,36.393,1499.493,0.332,3.172,6.0,0.296,1.0,5.8
6138.809,0.144,2.001,0.345,0.585,11.401,2402.419,0.335,3.881,0.268,33.816,1633.425,0.17,3.535,8.0,0.283,0.95,7.023
6020.779,0.101,1.069,0.317,0.301,11.525,2247.912,0.316,1.275,0.21,32.882,1254.644,0.636,1.258,11.0,0.999,1.65,4.587
4897.022,0.144,1.921,0.273,0.592,8.52,2568.06,0.331,1.121,0.294,31.804,1421.524,0.68,0.384,10.0,1.555,2.05,4.329
5124.987,0.124,1.685,0.263,0.522,11.321,2660.087,0.365,3.486,0.249,32.862,1257.161,0.249,1.915,9.0,0.637,1.55,4.37
6435.242,0.128,1.335,0.383,0.375,10.076,2638.409,0.211,3.551,0.295,31.954,1325.391,0.333,1.791,10.0,0.714,1.55,4.603
5399.301,0.173,2.193,0.362,0.425,8.043,2485.657,0.366,3.336,0.294,32.052,1290.097,0.22,2.115,11.0,0.56,1.4,4.712
