max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET
5462.584,0.143,2.029,0.361,0.522,10.113,2633.742,0.312,3.461,0.255,31.736,1318.542,0.121,2.007,4,0.595,1.4
5222.589,0.145,1.983,0.356,0.436,10.01,2603.189,0.31,3.519,0.254,32.311,1316.355,0.128,1.865,5,0.663,1.55
5428.802,0.153,1.969,0.347,0.568,10.006,2633.512,0.308,3.485,0.249,32.073,1357.283,0.136,1.842,5,0.666,1.5
4974.008,0.143,1.967,0.348,0.563,10.03,2636.826,0.288,3.372,0.253,32.31,1253.621,0.164,1.521,6,0.815,1.65
5429.754,0.144,1.989,0.342,0.522,10.03,2674.399,0.301,3.472,0.252,32.056,1235.561,0.176,1.804,4,0.671,1.5
5442.004,0.143,1.945,0.341,0.522,10.03,2674.399,0.301,1.419,0.25,32.07,1200.004,0.595,1.165,5,1,1.7
4331.014,0.143,1.949,0.341,0.6,10.065,2655.52,0.301,1.4,0.252,32.955,1200.194,0.6,0.193,6,1.666,2.05
4914.749,0.143,1.985,0.353,0.556,10.82,2658.516,0.316,3.435,0.252,32.545,1230.795,0.179,1.437,6,0.855,1.65
4338.984,0.152,1.143,0.358,0.581,10.006,2658.094,0.293,1.038,0.252,31.728,1215.932,0.703,-3.407,7,0,0
5494.047,0.151,1.985,0.362,0.596,10.713,2655.709,0.308,1.405,0.248,31.849,1216.643,0.599,0.535,7,1.408,2
5806.611,0.156,2.063,0.354,0.51,9.862,2607.166,0.294,3.578,0.254,31.704,1228.763,0.181,1.576,3,0.777,1.65
5792.053,0.138,1.006,0.352,0.6,9.873,2699.976,0.293,1.03,0.251,32.119,1211.549,0.706,-4.368,7,0,0
5807.526,0.156,1.006,0.352,0.6,9.864,2699.976,0.293,1.03,0.251,32.119,1211.549,0.706,-4.069,6,0,0
5828.14,0.138,1.005,0.352,0.6,11.426,2699.008,0.293,1.074,0.251,32.119,1211.549,0.693,-3.969,9,0,0
5789.753,0.158,1.987,0.353,0.511,9.864,2561.447,0.32,3.556,0.249,34.257,1598.772,0.067,3.662,4,0.281,0.85
5806.405,0.156,1.139,0.348,0.308,9.864,2698.604,0.244,3.582,0.256,31.868,1252.195,0.43,1.293,6,0.96,1.7
5688.099,0.145,1.981,0.353,0.561,11.307,2624.449,0.293,3.488,0.2,32.028,1209.004,0.2,0.995,7,1.08,1.8
5593.414,0.157,2.113,0.347,0.59,10.148,2618.959,0.291,1.266,0.252,31.701,1330.128,0.638,0.079,7,1.797,2.1
5805.89,0.157,1.007,0.348,0.6,9.864,2698.457,0.293,1.173,0.202,31.706,1211.549,0.665,-2.353,7,0,0
5789.753,0.144,1.999,0.357,0.509,10.15,2569.593,0.303,3.528,0.249,34.257,1615.918,0.077,2.871,3,0.377,1.15
5789.784,0.143,2.018,0.348,0.594,9.864,2635.292,0.295,1.056,0.255,31.862,1218.359,0.698,-2.638,5,0,0
5789.753,0.158,1.999,0.353,0.509,9.712,2571.395,0.302,3.556,0.249,34.257,1605.137,0.07,2.651,5,0.435,1.2
5806.611,0.156,2.063,0.364,0.51,9.862,2607.166,0.294,1.084,0.254,31.841,1228.754,0.69,0.871,4,1.181,1.85
5953.058,0.157,1.988,0.352,0.561,8.373,2699,0.288,3.215,0.257,31.778,1253.521,0.164,1.559,7,0.792,1.6
5953.404,0.153,2.049,0.352,0.562,8.373,2698.956,0.254,2.927,0.253,32.119,1253.521,0.164,1.468,8,0.838,1.6
5830.027,0.149,2.068,0.342,0.449,9.933,2610.77,0.29,3.468,0.267,31.7,1335.639,0.11,1.715,6,0.727,1.55
5824.594,0.138,1.005,0.352,0.6,11.426,2699.513,0.293,1.074,0.251,32.125,1211.549,0.693,-3.965,8,0,0
5806.739,0.157,1.012,0.353,0.519,9.912,2699.976,0.293,3.579,0.25,31.702,1209.2,0.494,1.575,4,0.808,1.6
5789.753,0.158,1.987,0.353,0.511,9.864,2571.395,0.293,3.556,0.249,34.257,1598.755,0.07,3.607,4,0.298,0.9
5807.581,0.156,1.002,0.353,0.6,9.864,2697.746,0.286,1.146,0.25,32.119,1211.55,0.673,-2.764,6,0,0
5807.581,0.156,1.012,0.353,0.6,9.864,2699.976,0.293,1.136,0.25,32.119,1211.549,0.675,-3.27,6,0,0
5805.873,0.147,1.164,0.348,0.598,9.906,2698.444,0.307,1.136,0.203,31.708,1212.415,0.675,-3.407,7,0,0
5824.101,0.157,1.012,0.353,0.6,9.864,2699.976,0.293,1.135,0.25,31.705,1209.2,0.676,-3.887,6,0,0
5806.405,0.155,1.139,0.348,0.596,9.864,2696.753,0.244,1.632,0.256,31.868,1224.609,0.534,0.788,7,1.253,1.85
5808.556,0.156,2.115,0.353,0.588,9.864,2693.833,0.293,1.412,0.253,31.791,1332.719,0.597,0.281,6,1.636,2.05
5786.017,0.157,1.99,0.353,0.508,10.15,2601.125,0.283,3.555,0.25,32.08,1364.476,0.096,2.293,3,0.494,1.35
5809.441,0.144,2.126,0.344,0.594,8.368,2697.381,0.282,1.608,0.251,31.86,1229.908,0.541,0.446,7,1.431,1.95
5813.004,0.157,2.067,0.354,0.591,9.862,2607.18,0.304,1.534,0.255,31.7,1228.668,0.562,0.613,5,1.333,1.9
5805.853,0.156,2.097,0.352,0.599,9.864,2693.833,0.302,1.481,0.253,31.791,1327.03,0.577,0.572,6,1.387,2.05
5806.618,0.155,2.064,0.354,0.522,9.907,2698.444,0.291,3.575,0.254,31.702,1294.398,0.137,1.937,3,0.619,1.45
5810.365,0.149,2.068,0.342,0.449,9.933,2607.146,0.305,3.487,0.267,31.7,1340.956,0.107,2.093,5,0.568,1.45
