max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
4342.85,0.12,2.702,0.205,0.46,9.083,2240.591,0.355,1.4,0.275,32.513,1458.454,0.6,7.04,12,0,0,4.176
6722.862,0.161,1.237,0.263,0.363,8.875,2106.036,0.39,1.679,0.262,36.307,1255.009,0.52,1.405,12,0.154,0.3,4.341
6737.334,0.17,2.205,0.221,0.366,8.235,2540.625,0.367,1.412,0.266,36.234,1292.438,0.597,-0.001,12,0,0,3.865
4656.359,0.104,1.359,0.355,0.302,11.036,2224.548,0.335,1.704,0.29,32.123,1381.929,0.513,6.954,11,0,0,4.852
6576.81,0.198,1.104,0.262,0.307,8.851,2145.237,0.426,2.557,0.297,32.322,1440.844,0.448,4.182,12,0.004,0.05,5.282
5643.374,0.107,2.354,0.373,0.557,9.464,2149.215,0.403,3.288,0.209,32.281,1511.882,0.343,4.995,12,0,0,5.113
5596.901,0.122,1.234,0.397,0.368,10.076,2645.658,0.387,2.831,0.278,34.942,1594.812,0.383,3.871,11,0,0,2.824
5209.766,0.107,2.775,0.3,0.483,9.029,2126.995,0.242,3.815,0.275,33.01,1460.589,0.387,7.46,11,0,0,4.46
6251.16,0.109,2.476,0.316,0.388,11.658,2167.767,0.395,2.997,0.278,33.338,1449.349,0.317,6.01,12,0,0,2.766
6189.791,0.116,2.501,0.267,0.487,10.798,2602.374,0.388,1.846,0.287,32.001,1618.577,0.473,7.058,11,0,0,3.106
6803.716,0.154,1.971,0.319,0.534,8.519,2270.007,0.311,1.782,0.238,33.953,1492.578,0.491,6.961,8,0,0,2.529
6111.047,0.14,1.459,0.307,0.314,8.775,2553.82,0.21,1.191,0.253,33.337,1295.03,0.66,3.864,11,0.003,0.05,4.635
4333.82,0.138,1.833,0.277,0.578,11.177,2497.344,0.342,1.795,0.272,32.085,1309.09,0.487,6.274,12,0,0,3.16
5132.924,0.19,2.508,0.323,0.571,8.495,2162.872,0.257,3.206,0.224,34.29,1474.521,0.267,5.862,12,0,0,2.375
6184.449,0.183,2.019,0.377,0.392,11.027,2515.347,0.212,1.285,0.291,31.815,1281.372,0.633,7.054,11,0,0,2.999
