max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET
5309.461,0.152,1.051,0.349,0.477,11.982,2685.597,0.281,1.59,0.242,31.721,1213.444,0.546,-2.368,8,0,0
5139.621,0.145,1.467,0.349,0.478,11.908,2684.761,0.277,3.519,0.254,32.543,1216.245,0.266,0.868,6,1.186,1.8
4812.378,0.154,2.004,0.365,0.5,8.737,2648.441,0.293,3.484,0.239,32.517,1246.479,0.17,1.188,6,0.996,1.7
5458.03,0.155,1.63,0.351,0.471,10.974,2674.454,0.281,3.639,0.243,32.289,1228.393,0.185,0.841,8,1.191,1.85
5389.758,0.144,1.924,0.35,0.519,11.926,2686.664,0.298,1.102,0.25,31.807,1208.097,0.685,0.171,6,1.847,2.25
5370.332,0.152,1.964,0.346,0.498,10.87,2583.641,0.281,3.463,0.25,32.526,1366.762,0.089,1.397,5,0.886,1.6
5362.374,0.152,1.051,0.349,0.477,11.955,2685.597,0.281,1.147,0.242,31.721,1213.462,0.672,-3.299,8,0,0
5458.03,0.155,1.655,0.295,0.471,10.849,2674.454,0.298,3.502,0.244,31.791,1229.29,0.18,0.86,8,1.181,1.85
5589.276,0.151,1.016,0.355,0.519,11.934,2685.49,0.314,1.838,0.25,31.782,1288.052,0.492,-1.43,7,1.639,1.9
5549.201,0.145,1.476,0.356,0.476,11.836,2684.894,0.293,3.518,0.248,32.203,1228.71,0.262,0.71,7,1.263,1.9
5393.284,0.144,1.449,0.282,0.483,11.789,2684.946,0.276,3.064,0.239,32.533,1207.83,0.275,0.205,10,1.805,2.3
5143.795,0.144,1.43,0.351,0.478,11.856,2685.901,0.293,3.532,0.246,32.543,1213.604,0.285,0.865,6,1.166,1.85
4751.72,0.156,1.646,0.356,0.478,11.931,2676.657,0.277,3.497,0.243,31.803,1210.573,0.193,0.892,6,1.163,1.8
5589.276,0.152,1.087,0.358,0.519,11.719,2685.49,0.31,1.838,0.25,31.782,1288.052,0.475,0.253,7,1.787,2.25
5385.803,0.152,1.028,0.35,0.496,11.946,2685.598,0.281,1.144,0.246,33.031,1216.964,0.673,-3.828,7,0,0
5791.979,0.144,1.964,0.34,0.484,10.79,2584.182,0.281,3.427,0.25,32.565,1366.762,0.089,1.952,4,0.651,1.4
4717.81,0.154,1.955,0.346,0.427,9.91,2666.433,0.312,3.377,0.246,35.572,1217.115,0.189,0.977,5,1.115,1.8
