max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET
5713.234,0.141,1.299,0.259,0.492,11.013,2466.141,0.237,3.026,0.284,35.353,1264.95,0.351,1.109,10,1.053,1.75
5741.642,0.159,1.692,0.276,0.393,8.375,2491.887,0.238,3.523,0.202,31.732,1269.098,0.214,1.423,11,0.877,1.65
4663.929,0.173,1.23,0.357,0.428,11.888,2577.599,0.341,1.073,0.263,33.931,1280.855,0.693,0.291,11,1.867,2.35
5184.911,0.144,1.335,0.342,0.532,11.241,2052.116,0.313,3.528,0.243,36.247,1503.577,0.333,2.28,6,0.602,1.4
5800.405,0.15,1.833,0.348,0.451,11.268,2586.548,0.313,3.021,0.265,32.676,1497.594,0.137,2.05,7,0.625,1.4
4248.571,0.15,1.257,0.285,0.439,8.235,2600.324,0.441,1.503,0.254,32.211,1378.301,0.571,0.883,10,1.178,1.75
4834.934,0.125,1.21,0.364,0.385,11.072,2696.965,0.288,2.207,0.241,32.553,1333.24,0.395,1.025,10,1.1,1.75
6116.045,0.102,1.097,0.337,0.324,9.145,2225.99,0.239,1.119,0.246,34.541,1306.218,0.68,0.835,10,1.207,1.75
6275.039,0.151,1.531,0.363,0.532,10.935,2697.407,0.281,2.983,0.245,35.706,1505.006,0.235,2.503,6,0.532,1.2
5571.816,0.139,1.439,0.339,0.59,8.051,2600.66,0.348,1.216,0.265,34.107,1253.606,0.653,0.573,11,1.458,1.95
4496.927,0.145,1.367,0.377,0.39,10.405,2632.014,0.276,3.711,0.248,33.599,1336.934,0.317,1.238,10,0.977,1.7
4582.265,0.116,1.919,0.346,0.393,8.7,2666.344,0.305,3.522,0.232,35.58,1227.3,0.227,1.319,8,0.923,1.7
6263.331,0.128,1.307,0.36,0.383,9.996,2435.504,0.316,1.034,0.202,32.619,1224.472,0.705,0.606,9,1.445,2
5352.491,0.145,2.104,0.246,0.324,9.871,2387.786,0.321,1.039,0.245,35.391,1237.965,0.703,1.627,7,0.791,1.55
6131.715,0.137,1.608,0.313,0.533,9.975,2428.578,0.339,3.591,0.29,36.63,1211.245,0.196,1.641,10,0.82,1.55
5263.536,0.133,1.948,0.384,0.41,11.07,2662.907,0.303,2.778,0.257,32.712,1393.862,0.206,1.445,9,0.854,1.65
4793.753,0.108,1.504,0.377,0.46,8.611,2649.513,0.466,1.095,0.217,35.16,1233.041,0.687,-2.222,12,0,0
4549.195,0.185,1.89,0.331,0.338,8.569,2661.476,0.43,2.342,0.254,35.09,1213.763,0.433,0.934,11,1.13,1.8
5354.562,0.172,1.662,0.298,0.422,11.822,2592.751,0.285,3.666,0.269,33.508,1427.103,0.182,1.454,11,0.865,1.65
5915.291,0.176,1.088,0.395,0.489,10.215,2232.077,0.306,3.511,0.246,33.169,1259.455,0.456,1.111,8,1.06,1.7
4461.465,0.179,1.405,0.259,0.405,8.914,2419.842,0.388,3.482,0.267,34.626,1331.102,0.297,1.3,11,0.957,1.7
4270.973,0.111,1.157,0.295,0.509,10.357,2468.414,0.482,1.076,0.249,36.698,1472.189,0.693,0.375,10,1.579,1.9
